time,product_gps_sv_number,wifi_signal,product_gps_longitude,product_gps_latitude,altitude,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi
0,22,-49,117.44913883333336,39.257032666667136,0,0,0,0,-0.058073997497558594,0.21887612342834473,0.030820969492197037
200,22,-49,117.44913883333336,39.257032666667136,0,0,0,0,-0.058059610426425934,0.2188907116651535,0.030813047662377357
290,22,-49,117.44913883333336,39.257032666667136,0,0,0,0,-0.058059610426425934,0.2188907116651535,0.030813047662377357
290,21,-49,117.44913883333336,39.257032666667136,0,0,0,0,-0.058059610426425934,0.2188907116651535,0.030813047662377357
400,21,-49,117.44913866666653,39.25703283333386,0,0,0,0,-0.05813131853938103,0.2187919318675995,0.030776673927903175
485,21,-46,117.44913866666653,39.25703283333386,0,0,0,0,-0.05813131853938103,0.2187919318675995,0.030776673927903175
600,21,-46,117.44913866666653,39.25703283333386,0,0,0,0,-0.058057162910699844,0.21865729987621307,0.030777908861637115
800,21,-46,117.44913866666653,39.25703283333386,0,0,0,0,-0.05809583142399788,0.2187633514404297,0.030745234340429306
968,21,-46,117.44913866666653,39.25703283333386,0,0,0,0,-0.05809583142399788,0.2187633514404297,0.030745234340429306
969,21,-46,117.44913866666653,39.25703283333386,0,0,0,0,-0.05809583142399788,0.2187633514404297,0.030745234340429306
1000,21,-46,117.44913850000003,39.25703283333386,0,0,0,0,-0.058147139847278595,0.21860864758491516,0.030751163139939308
1200,21,-46,117.44913850000003,39.25703283333386,0,0,0,0,-0.05811068415641785,0.21865125000476837,0.030747903510928154
1400,21,-46,117.44913833333318,39.25703283333386,0,0,0,0,-0.05801938846707344,0.21865065395832062,0.030782023444771767
1484,21,-47,117.44913833333318,39.25703283333386,0,0,0,0,-0.05801938846707344,0.21865065395832062,0.030782023444771767
1490,21,-47,117.44913833333318,39.25703283333386,0,0,0,0,-0.05801938846707344,0.21865065395832062,0.030782023444771767
1490,20,-47,117.44913833333318,39.25703283333386,0,0,0,0,-0.05801938846707344,0.21865065395832062,0.030782023444771767
1600,20,-47,117.44913833333318,39.25703283333386,0,0,0,0,-0.058131858706474304,0.21871893107891083,0.030741464346647263
1800,20,-47,117.44913816666669,39.25703283333386,0,0,0,0,-0.05812704935669899,0.21869920194149017,0.0307481549680233
1860,20,-47,117.44913816666669,39.25703283333386,0,0,0,0,-0.05812704935669899,0.21869920194149017,0.0307481549680233
1886,20,-47,117.44913816666669,39.25703283333386,0,0,0,0,-0.05812704935669899,0.21869920194149017,0.0307481549680233
1913,21,-47,117.44913816666669,39.25703283333386,0,0,0,0,-0.05812704935669899,0.21869920194149017,0.0307481549680233
2000,21,-47,117.44913799999985,39.25703283333386,0,0,0,0,-0.05815666541457176,0.21859557926654816,0.03074089251458645
2200,21,-47,117.44913799999985,39.25703283333386,0,0,0,0,-0.058402035385370255,0.2186218500137329,0.030752915889024734
2292,21,-47,117.44913799999985,39.25703283333386,0,0,0,0,-0.058402035385370255,0.2186218500137329,0.030752915889024734
2292,20,-47,117.44913799999985,39.25703283333386,0,0,0,0,-0.058402035385370255,0.2186218500137329,0.030752915889024734
2400,20,-47,117.44913799999985,39.25703300000013,0,0,0,0,-0.05839642509818077,0.21894513070583344,0.030907440930604935
2483,20,-48,117.44913799999985,39.25703300000013,0,0,0,0,-0.05839642509818077,0.21894513070583344,0.030907440930604935
2600,20,-48,117.44913799999985,39.25703300000013,0,0,0,0,-0.05831444635987282,0.21824471652507782,0.030867991968989372
2800,20,-48,117.44913783333318,39.25703300000013,0,0,0,0,-0.058030202984809875,0.21879525482654572,0.030821382999420166
3000,20,-48,117.44913783333318,39.25703300000013,0,0,0,0,-0.05791842192411423,0.21893751621246338,0.030997324734926224
3200,20,-48,117.44913783333318,39.25703300000013,0,0,0,0,-0.057893529534339905,0.21942153573036194,0.0309370718896389
3403,20,-48,117.44913783333318,39.25703300000013,5.713510108762421e-05,0,0,0,-0.057138841599226,0.22061040997505188,0.03096546232700348
3483,20,-46,117.44913783333318,39.25703300000013,5.713510108762421e-05,0,0,0,-0.057138841599226,0.22061040997505188,0.03096546232700348
3600,20,-46,117.44913783333318,39.25703300000013,8.584919851273298e-05,0,0,0,-0.05410701036453247,0.22328481078147888,0.03296357020735741
3771,20,-46,117.44913783333318,39.25703300000013,8.584919851273298e-05,0,0,0,-0.05410701036453247,0.22328481078147888,0.03296357020735741
3800,20,-46,117.44913783333318,39.25703300000013,0.001509150373749435,-0.04199407249689102,-0.002394011477008462,-0.0503472276031971,-0.04912090301513672,0.1924838423728943,0.011685015633702278
4000,20,-46,117.44913783333318,39.25703283333386,0.05308893322944641,-0.2914294898509979,0.02361871860921383,-0.5143629312515259,-0.01781954988837242,0.045863233506679535,0.02901257947087288
4200,20,-46,117.44913783333318,39.25703216666697,0.20291157066822052,-0.19831258058547974,-0.008973469026386738,-0.8687112331390381,-0.01808294467628002,-0.06085524335503578,0.03196106106042862
4300,20,-46,117.44913783333318,39.25703216666697,0.20291157066822052,-0.19831258058547974,-0.008973469026386738,-0.8687112331390381,-0.01808294467628002,-0.06085524335503578,0.03196106106042862
4300,22,-46,117.44913783333318,39.25703216666697,0.20291157066822052,-0.19831258058547974,-0.008973469026386738,-0.8687112331390381,-0.01808294467628002,-0.06085524335503578,0.03196106106042862
4401,22,-46,117.44913666666667,39.25703116666754,0.3892519474029541,-0.10134498029947281,0.05641506239771843,-0.9752651453018188,-0.025826547294855118,0.007198681589215994,0.031344637274742126
4502,22,-46,117.44913666666667,39.25703116666754,0.3892519474029541,-0.10134498029947281,0.05641506239771843,-0.9752651453018188,-0.025826547294855118,0.007198681589215994,0.031344637274742126
4502,23,-46,117.44913666666667,39.25703116666754,0.3892519474029541,-0.10134498029947281,0.05641506239771843,-0.9752651453018188,-0.025826547294855118,0.007198681589215994,0.031344637274742126
4600,23,-46,117.44913649999991,39.25703033333392,0.5873768329620361,-0.1380438655614853,0.06693107634782791,-0.9757099151611328,-0.0638604611158371,0.02793273888528347,0.03434303030371666
4701,23,-46,117.44913649999991,39.25703033333392,0.5873768329620361,-0.1380438655614853,0.06693107634782791,-0.9757099151611328,-0.0638604611158371,0.02793273888528347,0.03434303030371666
4701,22,-46,117.44913649999991,39.25703033333392,0.5873768329620361,-0.1380438655614853,0.06693107634782791,-0.9757099151611328,-0.0638604611158371,0.02793273888528347,0.03434303030371666
4800,22,-46,117.44913666666667,39.25702983333375,0.7521454691886902,-0.1625392735004425,0.05224255099892616,-0.6659552454948425,-0.0830417051911354,0.005736493971198797,0.03347798064351082
4894,22,-46,117.44913666666667,39.25702983333375,0.7521454691886902,-0.1625392735004425,0.05224255099892616,-0.6659552454948425,-0.0830417051911354,0.005736493971198797,0.03347798064351082
4895,21,-46,117.44913666666667,39.25702983333375,0.7521454691886902,-0.1625392735004425,0.05224255099892616,-0.6659552454948425,-0.0830417051911354,0.005736493971198797,0.03347798064351082
4972,21,-46,117.44913666666667,39.25702983333375,0.7521454691886902,-0.1625392735004425,0.05224255099892616,-0.6659552454948425,-0.0830417051911354,0.005736493971198797,0.03347798064351082
5000,21,-46,117.44913683333334,39.25702950000031,0.8568743467330933,-0.1239747554063797,-0.03139406442642212,-0.3999882936477661,-0.08511101454496384,-0.017163658514618874,0.03381676971912384
5093,21,-46,117.44913683333334,39.25702950000031,0.8568743467330933,-0.1239747554063797,-0.03139406442642212,-0.3999882936477661,-0.08511101454496384,-0.017163658514618874,0.03381676971912384
5093,22,-46,117.44913683333334,39.25702950000031,0.8568743467330933,-0.1239747554063797,-0.03139406442642212,-0.3999882936477661,-0.08511101454496384,-0.017163658514618874,0.03381676971912384
5200,22,-46,117.44913683333334,39.25702900000105,0.9223042726516724,-0.06699449568986893,-0.10204560309648514,-0.22349508106708527,-0.059064388275146484,-0.011735635809600353,0.03460783511400223
5292,22,-46,117.44913683333334,39.25702900000105,0.9223042726516724,-0.06699449568986893,-0.10204560309648514,-0.22349508106708527,-0.059064388275146484,-0.011735635809600353,0.03460783511400223
5293,22,-46,117.44913683333334,39.25702900000105,0.9223042726516724,-0.06699449568986893,-0.10204560309648514,-0.22349508106708527,-0.059064388275146484,-0.011735635809600353,0.03460783511400223
5293,23,-46,117.44913683333334,39.25702900000105,0.9223042726516724,-0.06699449568986893,-0.10204560309648514,-0.22349508106708527,-0.059064388275146484,-0.011735635809600353,0.03460783511400223
5400,23,-46,117.44913632194249,39.25702863172845,0.9549227952957153,-0.04309763014316559,-0.1570083051919937,-0.0621773935854435,-0.03778282180428505,0.01517480332404375,0.07512105256319046
