time,battery_level,controller_gps_latitude,controller_gps_longitude,flying_state,alert_state,wifi_signal,product_gps_available,product_gps_longitude,product_gps_latitude,product_gps_position_error,product_gps_sv_number,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi,altitude,flip_type,speed
0,61,39.257364811294885,117.44922657824435,7,0,-59,True,117.44921950000027,39.25736750000042,0,22,0,0,0,-0.016142532229423523,-0.015312842093408108,-0.0032123988494277,0,0,0
202,61,39.257364811294885,117.44922657824435,7,0,-59,True,117.44921950000027,39.25736750000042,0,22,0,0,0,-0.01616360992193222,-0.015406467951834202,-0.0031578766647726297,0,0,0
401,61,39.257364811294885,117.44922657824435,7,0,-59,True,117.44921950000027,39.25736750000042,0,22,0,0,0,-0.018200235441327095,-0.01869245432317257,-0.003322749398648739,0,0,0
601,61,39.257364811294885,117.44922657824435,7,0,-59,True,117.44921950000027,39.25736750000042,0,22,0,0,0,-0.019275519996881485,-0.020228466019034386,-0.0029962537810206413,0,0,0
802,61,39.257364811294885,117.44922657824435,7,0,-59,True,117.44921950000027,39.25736750000042,0,22,0,0,0,-0.018197543919086456,-0.018649794161319733,-0.003073921427130699,0,0,0
1000,61,39.257364811294885,117.44922657824435,7,0,-59,True,117.44921950000027,39.25736750000042,0,22,0,0,0,-0.018443560227751732,-0.01913387142121792,-0.0034570423886179924,0,0,0
1200,61,39.257364811294885,117.44922657824435,7,0,-59,True,117.44921933333366,39.2573673333337,0,22,0,0,0,-0.017939016222953796,-0.018440602347254753,-0.0030190953984856606,0,0,0
1304,61,39.257364811294885,117.44922657824435,7,0,-58,True,117.44921933333366,39.2573673333337,0,22,0,0,0,-0.017939016222953796,-0.018440602347254753,-0.0030190953984856606,0,0,0
1400,61,39.257364811294885,117.44922657824435,7,0,-58,True,117.44921933333366,39.25736750000042,0,22,0,0,0,-0.017152080312371254,-0.017356382682919502,-0.002714225323870778,0,0,0
1602,61,39.257364811294885,117.44922657824435,7,0,-58,True,117.44921950000027,39.2573673333337,0,22,0,0,0,-0.021169176325201988,-0.024215389043092728,-0.00270553445443511,5.0438306061550975e-05,0,0
1800,61,39.257364811294885,117.44922657824435,7,0,-58,True,117.44921950000027,39.2573673333337,0,22,0,0,0,-0.02218778431415558,-0.025976210832595825,0.005617487244307995,8.544434967916459e-05,0,0
1926,61,39.257364811294885,117.44922657824435,1,0,-58,True,117.44921950000027,39.2573673333337,0,22,0,0,0,-0.02218778431415558,-0.025976210832595825,0.005617487244307995,8.544434967916459e-05,0,0
2001,61,39.257364811294885,117.44922657824435,1,0,-58,True,117.44921949568045,39.25736733946915,0,22,0.019493507221341133,-0.009952662512660027,-0.12797246873378754,-0.017560359090566635,-0.01766871102154255,-0.014477522112429142,0.007503821514546871,0,0
2201,61,39.257364811294885,117.44922657824435,1,0,-58,True,117.44921940067762,39.257367414224156,0,22,0.06880570203065872,-0.07023065537214279,-0.671438992023468,0.02026337757706642,-0.027590477839112282,-0.015880204737186432,0.08651015907526016,0,0
2401,61,39.257364811294885,117.44922657824435,1,0,-58,True,117.44921919991397,39.25736763117229,0,22,0.12537918984889984,-0.11558064818382263,-0.9373209476470947,0.01567043550312519,0.03762076795101166,-0.0005978300468996167,0.2528550922870636,0,0
2600,61,39.257364811294885,117.44922657824435,1,0,-58,True,117.44921891641117,39.257367811774294,0,22,0.02036445587873459,-0.08126205950975418,-0.9800859689712524,0.07185658067464828,0.06822472810745239,0.0007477779872715473,0.44556888937950134,0,0
2726,61,39.257364811294885,117.44922657824435,1,0,-58,True,117.44921891641117,39.257367811774294,0,22,0.02036445587873459,-0.08126205950975418,-0.9800859689712524,0.07185658067464828,0.06822472810745239,0.0007477779872715473,0.44556888937950134,0,0
2726,61,39.257364811294885,117.44922657824435,1,0,-58,True,117.44921891641117,39.257367811774294,0,21,0.02036445587873459,-0.08126205950975418,-0.9800859689712524,0.07185658067464828,0.06822472810745239,0.0007477779872715473,0.44556888937950134,0,0
2801,61,39.257364811294885,117.44922657824435,1,0,-58,True,117.44921897022459,39.257367662740855,0,21,-0.08130862563848495,0.03406088426709175,-0.9148476719856262,0.06580293923616409,0.027842920273542404,0.004428845830261707,0.64112788438797,0,0
2930,60,39.257364811294885,117.44922657824435,1,0,-58,True,117.44921897022459,39.257367662740855,0,21,-0.08130862563848495,0.03406088426709175,-0.9148476719856262,0.06580293923616409,0.027842920273542404,0.004428845830261707,0.64112788438797,0,0
3001,60,39.257364811294885,117.44922657824435,1,0,-58,True,117.4492191115113,39.257367262871504,0,21,-0.13673102855682373,0.05229577422142029,-0.5847050547599792,0.027310652658343315,-0.00886222068220377,0.0005176368285901845,0.7903470993041992,0,0
3129,60,39.257364811294885,117.44922657824435,1,0,-58,True,117.4492191115113,39.257367262871504,0,21,-0.13673102855682373,0.05229577422142029,-0.5847050547599792,0.027310652658343315,-0.00886222068220377,0.0005176368285901845,0.7903470993041992,0,0
3130,60,39.257364811294885,117.44922657824435,1,0,-58,True,117.4492191115113,39.257367262871504,0,20,-0.13673102855682373,0.05229577422142029,-0.5847050547599792,0.027310652658343315,-0.00886222068220377,0.0005176368285901845,0.7903470993041992,0,0
3200,60,39.257364811294885,117.44922657824435,1,0,-58,True,117.44921879769544,39.25736685497859,0,20,-0.10291577875614166,-0.04467165842652321,-0.33801281452178955,0.02108214795589447,-0.035876475274562836,0.002411735011264682,0.8842377662658691,0,0
3299,60,39.257364811294885,117.44922657824435,1,0,-63,True,117.44921879769544,39.25736685497859,0,20,-0.10291577875614166,-0.04467165842652321,-0.33801281452178955,0.02108214795589447,-0.035876475274562836,0.002411735011264682,0.8842377662658691,0,0
3330,60,39.257364811294885,117.44922657824435,1,0,-63,True,117.44921879769544,39.25736685497859,0,20,-0.10291577875614166,-0.04467165842652321,-0.33801281452178955,0.02108214795589447,-0.035876475274562836,0.002411735011264682,0.8842377662658691,0,0
3330,60,39.257364811294885,117.44922657824435,1,0,-63,True,117.44921879769544,39.25736685497859,0,21,-0.10291577875614166,-0.04467165842652321,-0.33801281452178955,0.02108214795589447,-0.035876475274562836,0.002411735011264682,0.8842377662658691,0,0
3400,60,39.257364811294885,117.44922657824435,1,0,-63,True,117.44921830942867,39.25736651791258,0,21,-0.04709784314036369,-0.07227367907762527,-0.17171132564544678,0.07732783257961273,-0.04056299850344658,-0.0018270532600581646,0.941078245639801,0,0
3439,60,39.257364811294885,117.44922657824435,2,0,-63,True,117.44921830942867,39.25736651791258,0,21,-0.04709784314036369,-0.07227367907762527,-0.17171132564544678,0.07732783257961273,-0.04056299850344658,-0.0018270532600581646,0.941078245639801,0,0
3453,60,39.257364811294885,117.44922657824435,3,0,-63,True,117.44921830942867,39.25736651791258,0,21,-0.04709784314036369,-0.07227367907762527,-0.17171132564544678,0.07732783257961273,-0.04056299850344658,-0.0018270532600581646,0.941078245639801,0,0
3600,60,39.257366506295604,117.44921828753196,3,0,-63,True,117.4492182928625,39.257366559354615,0,21,0.08127400279045105,0.044514089822769165,-0.33478817343711853,0.08730845153331757,-0.03808754310011864,0.003381747752428055,0.9918838739395142,0,0
3800,60,39.257366506295604,117.44921828753196,3,0,-63,True,117.44921876929133,39.257366795934196,0,21,0.13221462070941925,0.16105671226978302,-0.8614285588264465,0.06271512061357498,0.003297412535175681,0.09701377898454666,1.1320499181747437,0,0
3929,60,39.257366506295604,117.44921828753196,3,0,-63,True,117.44921876929133,39.257366795934196,0,21,0.13221462070941925,0.16105671226978302,-0.8614285588264465,0.06271512061357498,0.003297412535175681,0.09701377898454666,1.1320499181747437,0,0
3929,60,39.257366506295604,117.44921828753196,3,0,-63,True,117.44921876929133,39.257366795934196,0,22,0.13221462070941925,0.16105671226978302,-0.8614285588264465,0.06271512061357498,0.003297412535175681,0.09701377898454666,1.1320499181747437,0,0
3930,60,39.257366506295604,117.44921828753196,3,0,-63,True,117.44921876929133,39.257366795934196,0,22,0.13221462070941925,0.16105671226978302,-0.8614285588264465,0.06271512061357498,0.003297412535175681,0.09701377898454666,1.1320499181747437,0,0
4000,60,39.257366506295604,117.44921828753196,3,0,-63,True,117.44921918535644,39.25736708652685,0,22,0.1490764021873474,0.12992247939109802,-1.2555536031723022,0.01207876019179821,0.0048134238459169865,0.28048256039619446,1.3436528444290161,0,0
4200,60,39.257366506295604,117.44921828753196,3,0,-63,True,117.44921965401205,39.25736761627386,0,22,0.1816709041595459,0.10949557274580002,-1.574780821800232,0.049866121262311935,-0.02091381698846817,0.48534640669822693,1.6391832828521729,0,0
4299,60,39.257366506295604,117.44921828753196,3,0,-49,True,117.44921965401205,39.25736761627386,0,22,0.1816709041595459,0.10949557274580002,-1.574780821800232,0.049866121262311935,-0.02091381698846817,0.48534640669822693,1.6391832828521729,0,0
4401,60,39.257366506295604,117.44921828753196,3,0,-49,True,117.44922018498016,39.25736789837456,0,22,0.1747092455625534,0.13942138850688934,-1.8264403343200684,0.02001051977276802,-0.023000016808509827,0.691676139831543,1.9781631231307983,0,0
4600,60,39.257366506295604,117.44921828753196,3,0,-49,True,117.4492207149476,39.25736829398202,0,22,0.23808753490447998,0.09335589408874512,-2.052145481109619,-0.020725242793560028,-0.023308096453547478,0.9167254567146301,2.39089035987854,0,0
4800,60,39.257366506295604,117.44921828753196,3,0,-49,True,117.44922048928173,39.25736862144377,0,22,0.28763914108276367,-0.025768646970391273,-2.1977195739746094,-0.022266970947384834,-0.03282836824655533,1.1191694736480713,2.8249287605285645,0,0
4930,60,39.257366506295604,117.44921828753196,3,0,-49,True,117.44922048928173,39.25736862144377,0,22,0.28763914108276367,-0.025768646970391273,-2.1977195739746094,-0.022266970947384834,-0.03282836824655533,1.1191694736480713,2.8249287605285645,0,0
